Name	Place	Type	Phone Number 	Sanctioned bed 	Rural/Urban 	email-id 	District
FHC Kaviyoor 	Kaviyoor 	Family Health Centre	0469-2618413 	0	R 	phckaviyoor@gmail.com 	Pathanamthitta 
FHC Anikadu 	Anikadu 	Family Health Centre	0469-2686567 	0	R 	phcanicadu@gmail.com 	Pathanamthitta 
FHC Kuttoor 	Kuttoor 	Family Health Centre	0469-2614297 	0	R 	phckuttoor@gmail.com 	Pathanamthitta 
FHC Chenneerkara 	Chenneerkara 	Family Health Centre	0468-2259965 	24	R 	chennerkaraphc@gmail.com 	Pathanamthitta 
FHC Thannithodu 	Thannithodu 	Family Health Centre	0468-2382020 	24	R 	tndphc@gmail.com 	Pathanamthitta 
FHC Pandalam 	Pandalam 	Family Health Centre	04734-256090 	0	U 	pandalamphc@gmail.com 	Pathanamthitta 
FHC Othera 	Othera 	Family Health Centre	0469-2656505 	24	R 	otheraphc@gmail.com 	Pathanamthitta 
FHC Pallickal 	Pallickal 	Family Health Centre	04734-289890 	0	R 	phcpallickal@gmail.com 	Pathanamthitta 
FHC Kottangal 	Kottangal 	Family Health Centre	0469-2696139 	24	R 	phc.kottangal@gmail.com 	Pathanamthitta 
FHC Niranam 	Niranam 	Family Health Centre	0469-2617999 	24	R 	mophcniranampa@gmail.com 	Pathanamthitta 
FHC Vadasserrikkara 	Vadasserrikkara 	Family Health Centre	04735-251773 	0	R 	phcvadasserikkara@gmail.com 	Pathanamthitta 
FHC Perumpalam 	Perumpalam 	Family Health Centre	0478-2512366 	26	R 	phcperumbalam@gmail.com 	Alappuzha 
FHC Cherthala South 	Cherthala South 	Family Health Centre	0478-2572533 	0	R 	mocherthalasouthphc@gmail. com 	Alappuzha 
FHC Vayalar 	Vayalar 	Family Health Centre	0478-2593827 	24	R 	mophcvayalar@gmail.com 	Alappuzha 
FHC Pallithodu 	Pallithodu 	Family Health Centre	0478-2562590 	0	R 	phcpallithode@yahoo.in 	Alappuzha 
FHC Vallikunnam 	Vallikunnam 	Family Health Centre	0479-2338300 	24	R 	vallikunnamphc@gmail.com 	Alappuzha 
FHC Nooranadu 	Nooranadu 	Family Health Centre	0479-2375958 	12	R 	phcnooranad@gmail.com 	Alappuzha 
FHC Chettikulangara 	Chettikulangara 	Family Health Centre	0479-2345399 	24	R 	chettikulangaraphc@gmail.com 	Alappuzha 
FHC Thakazhi 	Thakazhi 	Family Health Centre	0477-2275900 	8	R 	phcthakazhy@gmail.com 	Alappuzha 
FHC Cheriyanad 	Cheriyanad 	Family Health Centre	0479-2362010 	24	R 	phccheriyanad@live.com 	Alappuzha 
FHC Karthikapally 	Karthikapally 	Family Health Centre	0479-2482509 	0	R 	phckarthikappally@gmail.com 	Alappuzha 
FHC Karuvatta 	Karuvatta 	Family Health Centre	0479-2491934 	0	R 	karuvattaphc@gmail.com 	Alappuzha 
FHC Fisheries Hospital Pallana	Fisheries Hospital Pallana,Alappuzha 	Family Health Centre	0477-2297644 	20	R 	gfhpallana@gmail.com 	Alappuzha 
FHC Aryad 	Aryad 	Family Health Centre	0477-2249070 	0	R 	aryadphcalpy@gmail.com 	Alappuzha 
FHC Thottappally 	Thottappally 	Family Health Centre	0477-2297369 	0	R 	phcthottapally@gmail.com 	Alappuzha 
FHC Purakkad 	Purakkad 	Family Health Centre	0477-2270798 	0	R 	phcpurakkad@gmail.com 	Alappuzha 
FHC Punnapra South 	Punnapra South 	Family Health Centre	0477-2280161 	0	R 	phcpunnapara@gmail.com 	Alappuzha 
FHC Ambalapuzha North 	Ambalapuzha North 	Family Health Centre	0477-2282255 	0	R 	phcambalappuzhanorth@gmail.com 	Alappuzha 
FHC Mararikulam North 	Mararikulam North 	Family Health Centre	0478-2863001 	6	R 	momararinorth@gmail.com 	Alappuzha 
FHC Vallethodu 	Vallethodu 	Family Health Centre	0478-2561465 	0	R 	phcvallethode@gmail.com 	Alappuzha 
FHC Panavally 	Panavally 	Family Health Centre	0478-2524299 	0	R 	mophcpanavally@gmail.com 	Alappuzha 
FHC Thuravoor South 	Thuravoor South 	Family Health Centre	0478-2565662 	0	R 	thuravoorsouthphc@gmail.com 	Alappuzha 
FHC Kadakkarappally 	Kadakkarappally 	Family Health Centre	0478-2812692 	0	R 	phckadakkarappally@gmail.com 	Alappuzha 
FHC Thamarakulam 	Thamarakulam 	Family Health Centre	0479-2370310 	0	R 	phcthamarakulam@gmail.com 	Alappuzha 
FHC Thazhakara 	Thazhakara 	Family Health Centre	0479-2357370 	0	R 	phcthazhakkara@gmail.com 	Alappuzha 
FHC Bharanikavu 	Bharanikavu 	Family Health Centre	0479-2331829 	0	R 	mophcbharanicavu@gmail.com 	Alappuzha 
FHC Krishnapuram 	Krishnapuram 	Family Health Centre	0479-2438154 	0	R 	mophckrishnapuram@gmail.com 	Alappuzha 
FHC Devikulangara 	Devikulangara 	Family Health Centre	0476-2698686 	0	R 	moicphcdvk@gmail.com 	Alappuzha 
FHC Pathiyoor 	Pathiyoor 	Family Health Centre	0479-2436120 	0	R 	mo.phc.pathiyoor@gmail.com 	Alappuzha 
FHC Kavalam 	Kavalam 	Family Health Centre	0477-2748185 	0	R 	kavalamphc8@gmail.com 	Alappuzha 
FHC Veeyapuram 	Veeyapuram 	Family Health Centre	0479-2318533 	0	R 	phcveeyapuram@gmail.com 	Alappuzha 
FHC Ramankari 	Ramankari 	Family Health Centre	0477-2707731 	0	R 	phcramankary@gmail.com 	Alappuzha 
FHC Kuppapuram 	Kuppapuram 	Family Health Centre	0477-2176462 	0	R 	phc.kuppapuram@yahoo.com 	Alappuzha 
FHC Venmony 	Venmony 	Family Health Centre	0479-2354998 	0	R 	venmonyphc2@gmail.com 	Alappuzha 
FHC Eramallikkara 	Eramallikkara 	Family Health Centre	0479-2427002 	0	R 	phceramallikkara@gmail.com 	Alappuzha 
FHC Puliyoor 	Puliyoor 	Family Health Centre	0479-2466555 	0	R 	phcpuliyoor@gmail.com 	Alappuzha 
FHC Mulakuzha 	Mulakuzha 	Family Health Centre	0479-2422577 	0	R 	phcmulakkuzha@gmail.com 	Alappuzha 
FHC Kadampoor 	Kadampoor 	Family Health Centre	0479-2466815 	0	R 	phckadampooralpy@gmail.com 	Alappuzha 
FHC Chingoli GFD Arattupuzha	Chingoli GFD Arattupuzha, Alappuzha 	Family Health Centre	0479-2485214 0479-2488200 	0	R	chingoliphc@gmail.com gfdarattupuzha@gmail.com 	Alappuzha 
FHC Ezhupunna 	Ezhupunna 	Family Health Centre	0478-2877699 	24	R 	ezhupunnaphc@yahoo.in 	Alappuzha 
FHC Kalavoor 	Kalavoor 	Family Health Centre	0478-2860979 	24	R 	phckalavoor@gmail.com 	Alappuzha 
FHC Aroor 	Aroor 	Family Health Centre	0478-2874192 	0	R 	phcaroor@gmail.com 	Alappuzha 
FHC Vettakkal 	Vettakkal 	Family Health Centre	0478-2592193 	18	R 	vtklphc@gmail.com 	Alappuzha 
FHC Arattupuzha 	Arattupuzha 	Family Health Centre	0479-2488201 	24	R 	mophcarattupuzha@gmail.com 	Alappuzha 
FHC Kandalloor 	Kandalloor 	Family Health Centre	0479-2430365 	36	R 	phckandalor@gmail.com 	Alappuzha 
FHC Pallippuram 	Pallippuram 	Family Health Centre	0478-2553972 	12	R 	mophcpallipuram@gmail.com 	Alappuzha 
FHC Kanjikuzhi 	Kanjikuzhi 	Family Health Centre	0478-2818588 	0	R 	mokanjikuzhyphc@gmail.com 	Alappuzha 
FHC Punnapra North 	Punnapra North 	Family Health Centre	0477-2266538 	0	R 	phcpunnapranorth@gmail.com 	Alappuzha 
FHC Palamel 	Palamel 	Family Health Centre	0479-2386242 	0	R 	phcpalamel@gmail.com 	Alappuzha 
FHC Chennithala 	Chennithala 	Family Health Centre	0479-2323897 	0	R 	phcchennithala@gmail.com 	Alappuzha 
FHC Neelamperoor 	Neelamperoor 	Family Health Centre	0477-2746200 	0	R 	phcneelamperoor@gmail.com 	Alappuzha 
FHC Thalavady 	Thalavady 	Family Health Centre	0477-2210940 	0	R 	thalavadyphc@gmail.com 	Alappuzha 
FHC Ala 	Ala 	Family Health Centre	0479-2166055 	0	R 	mophcala2011@gmail.com 	Alappuzha 
FHC Cheruthana 	Cheruthana 	Family Health Centre	0479-2318455 	24	R 	cheruthanaphc@gmail.com 	Alappuzha 
FHC Thottakad 	Thottakad 	Family Health Centre	0481-2462370 	71	R 	chcthottakkadu@gmail.com 	Kottayam 
FHC Koottickal 	Koottickal 	Family Health Centre	04828-284612 	38	R 	chckoottickal@gmail.com 	Kottayam 
FHC Mundakkayam 	Mundakkayam 	Family Health Centre	04828-272572 	60	R 	suptdghm@gmail.com 	Kottayam 
FHC Poonjar 	Poonjar 	Family Health Centre	04822-274994 	32	R 	mophcpoonjar@gmail.com 	Kottayam 
FHC Arunoottimangalam 	Arunoottimangalam 	Family Health Centre	04829-252376 	24	R 	chcarmangalam@rediffmail.com 	Kottayam 
FHC Kadaplamattom 	Kadaplamattom 	Family Health Centre	04822-251499 	56	R 	chckadaplamattom@gmail.com 	Kottayam 
FHC Marangattupally 	Marangattupally 	Family Health Centre	04822-250400 	26	R 	phcmgply@gmail.com 	Kottayam 
FHC Ramapuram 	Ramapuram 	Family Health Centre	04822-263806 	49	R 	chcramapuram@gmail.com 	Kottayam 
FHC Karukachal 	Karukachal 	Family Health Centre	0481-2485241 	30	R 	mochckchal2018@gmail.com 	Kottayam 
FHC Ettumanoor 	Ettumanoor 	Family Health Centre	0481-2535573 	24	U 	kmchetr@gmail.com 	Kottayam 
FHC Athirampuzha 	Athirampuzha 	Family Health Centre	0481-2730095 	42	R 	phcathirampuzha1@gmail.com 	Kottayam 
FHC Aymanam 	Aymanam 	Family Health Centre	0481-2516149 	0	R 	phcaymanam@ymail.com 	Kottayam 
FHC Parampuzha 	Parampuzha 	Family Health Centre	0481-2770829 	24	R 	parampuzhaphc829@gmail. com 	Kottayam 
FHC Thrikodithanam 	Thrikodithanam 	Family Health Centre	0481-2445470 	24	R 	moicphctkdm@gmail.com 	Kottayam 
FHC Meenadam 	Meenadam 	Family Health Centre	0481-2556648 	0	R 	phcmeenadom@gmail.com 	Kottayam 
FHC Puthuppally 	Puthuppally 	Family Health Centre	0481-2353250 	0	R 	phcputhuppally2014@gmail.com 	Kottayam 
FHC Onamthuruthu 	Onamthuruthu 	Family Health Centre	0481-2712511 	0	R 	onamthuruth@gmail.com 	Kottayam 
FHC Nattakom 	Nattakom 	Family Health Centre	0481-2362299 	0	U 	fhcnattakom@gmail.com 	Kottayam 
FHC Kadanadu 	Kadanadu 	Family Health Centre	04822-247747 	6	R 	phckadanad@gmail.com 	Kottayam 
FHC Mutholi 	Mutholi 	Family Health Centre	04822-206346 	0	R 	phcmutholy@gmail.com 	Kottayam 
FHC Moonilavu 	Moonilavu 	Family Health Centre	04822-287026 	0	R 	phcmoonnilavu@gmail.com 	Kottayam 
FHC Maravanthuruthu 	Maravanthuruthu 	Family Health Centre	04829-236756 	0	R 	phcmaravanthuruthu@gmail.com 	Kottayam 
FHC Udayanapuram 	Udayanapuram 	Family Health Centre	04829-225213 	0	R 	moudayanapuram@gmail.com 	Kottayam 
FHC Thalayazham 	Thalayazham 	Family Health Centre	04829-224814 	0	R 	phcthalayazham@gmail.com 	Kottayam 
FHC Parathodu 	Parathodu 	Family Health Centre	04828-270773 	0	R 	phcparathodu@gmail.com 	Kottayam 
FHC Koruthodu 	Koruthodu 	Family Health Centre	04828-280104 	0	R 	phckoruthode@gmail.com 	Kottayam 
FHC Vellavoor 	Vellavoor 	Family Health Centre	0481-2496789 	0	R 	phcvellavoor@gmail.com 	Kottayam 
FHC Vizhikkithodu 	Vizhikkithodu 	Family Health Centre	04828-231159 	0	R 	phcvizhickathodu@gmail.com 	Kottayam 
FHC Pallickathodu 	Pallickathodu 	Family Health Centre	0481-2551750 	0	R 	pallickathoduphc@gmail.com 	Kottayam 
FHC Kanakkary 	Kanakkary 	Family Health Centre	0481-2532063 	0	R 	phckanakkari@gmail.com 	Kottayam 
FHC Kattampak 	Kattampak 	Family Health Centre	04829-265340 	0	R 	phckattampak@rediffmail.com 	Kottayam 
FHC Kallara 	Kallara 	Family Health Centre	04829-269277 	0	R 	phckallaravaikom@gmail.com 	Kottayam 
FHC Velloor 	Velloor 	Family Health Centre	04829-257705 	0	R 	phcvelloor@rediffmail.com 	Kottayam 
FHC Paippad 	Paippad 	Family Health Centre	0481-2446927 	0	R 	mophcpaippadu@gmail.com 	Kottayam 
FHC Brahmamangalam 	Brahmamangalam 	Family Health Centre	04829-274427 	18	R 	mo.brahmamangalam@gmail.com 	Kottayam 
FHC Erattupetta 	Erattupetta 	Family Health Centre	04822-277425 	24	U 	medicalofficerphcetpa@yahoo.co.in 	Kottayam 
FHC Manimala 	Manimala 	Family Health Centre	04828-247031 	30	R 	phcmanimala@gmail.com 	Kottayam 
FHC Madappaly 	Madappaly 	Family Health Centre	0481-2472745 	24	R 	mophcmadappally@gmail.com 	Kottayam 
FHC Kooropada 	Kooropada 	Family Health Centre	0481-2701435 	0	R 	phckooropada@gmail.com 	Kottayam 
FHC Thiruvarppu 	Thiruvarppu 	Family Health Centre	0481-2382066 	0	R 	thiruvarppuphc@yahoo.com 	Kottayam 
FHC Panachikkadu 	Panachikkadu 	Family Health Centre	0481-2433604 	0	R 	bphcpanachikkadu@gmail.com 	Kottayam 
FHC Meenachil 	Meenachil 	Family Health Centre	04822-238036 	24	R 	phcmeenachil@gmail.com 	Kottayam 
FHC Vazhoor 	Vazhoor 	Family Health Centre	0481-2454888 	0	R 	mophcvazhoor@gmail.com 	Kottayam 
FHC Veliyannoor 	Veliyannoor 	Family Health Centre	04822-245716 	0	R 	phcveliyannoor@gmail.com 	Kottayam 
FHC Kuruppanthara 	Kuruppanthara 	Family Health Centre	04829-244050 	0	R 	phckuruppanthara@gmail.com 	Kottayam 
FHC Devikulam 	Devikulam 	Family Health Centre	04865-264353 	10	R 	phcdvkm@gmail.com 	Idukki
FHC Muttom 	Muttom 	Family Health Centre	04862-255028 	16	R 	phcmuttom@yahoo.in 	Idukki
FHC Karunapuram 	Karunapuram 	Family Health Centre	04868-279055 	24	R 	mophckarunapuram@gmail. com 	Idukki
FHC Vathikudy 	Vathikudy 	Family Health Centre	04868-260500 	24	R 	phcvathikudy@gmail.com 	Idukki
FHC Rajakumary 	Rajakumary 	Family Health Centre	04868-246019 	24	R 	phcrky@gmail.com 	Idukki
FHC Karimannoor 	Karimannoor 	Family Health Centre	04862-261230 	24	R 	phckarimannoor@gmail.com 	Idukki
FHC Kodikulam 	Kodikulam 	Family Health Centre	04862-265123 	24	R 	phckodikkulam@yahoo.com 	Idukki
FHC Kamakshy 	Kamakshy 	Family Health Centre	04868-226297 	10	R 	kamakshyphc@yahoo.com 	Idukki
FHC Kumily 	Kumily 	Family Health Centre	04869-222978 	24	R 	kumilyphc@gmail.com 	Idukki
FHC Arakulam 	Arakulam 	Family Health Centre	04862-253399 	24	R 	arakulamphc@gmail.com 	Idukki
FHC Pampadumpara 	Pampadumpara 	Family Health Centre	04868-232285 	0	R 	phcbpampadumpara@gmail.com 	Idukki
FHC Senapathy 	Senapathy 	Family Health Centre	04868-244390 	0	R 	mophcsenapathy@gmail.com 	Idukki
FHC Chembakappara 	Chembakappara 	Family Health Centre	04868-230312 	0	R 	phcchempakappara@gmail.com 	Idukki
FHC Thattakuzha 	Thattakuzha 	Family Health Centre	04862-272267 	0	R 	phcthattakuzha@ymail.com 	Idukki
FHC Alakkode 	Alakkode 	Family Health Centre	04862-275151 	0	R 	phc.alakod@gmail.com 	Idukki
FHC Kumaramangalam 	Kumaramangalam 	Family Health Centre	04862-200889 	24	R 	phckumaramangalam@gmail.com 	Idukki
FHC Deviar Colony 	Deviar Colony 	Family Health Centre	04864-272601 	0	R 	mophcdvcy@gmail.com 	Idukki
FHC Vellathooval 	Vellathooval 	Family Health Centre	04864-277167 	0	R 	phcvellathooval@gmail.com 	Idukki
FHC Chinnakanal 	Chinnakanal 	Family Health Centre	04868-249406 	0	R 	phcchinnakanal@gmail.com 	Idukki
FHC Bison Valley 	Bison Valley 	Family Health Centre	04865-285819 	0	R 	phcblly@gmail.com 	Idukki
FHC Ayyappancovil 	Ayyappancovil 	Family Health Centre	04869-244742 	24	R 	phcayyappancoil@gmail.com 	Idukki
FHC Elappara 	Elappara 	Family Health Centre	04869-242556 	0	R 	phcelappara@gmail.com 	Idukki
FHC Kokkayar 	Kokkayar 	Family Health Centre	04869-210963 	24	R 	phckokkayar@gmail.com 	Idukki
FHC Vazhathopu 	Vazhathopu 	Family Health Centre	0486-2235186 	10	R 	vazhathopephc@ymail.com 	Idukki
FHC Kudayathur 	Kudayathur 	Family Health Centre	04862-253255 	0	R 	mophckudayathoor@gmail.com 	Idukki
FHC Elamdesam 	Elamdesam 	Family Health Centre	04862-275225 	24	R 	phcelamdesam@gmail.com 	Idukki
FHC Vattavada 	Vattavada 	Family Health Centre	04865-214431 	0	R 	phcvattavada@gmail.com 	Idukki
FHC Kanchiyar 	Kanchiyar 	Family Health Centre	04868-271810 	24	R 	phckanchiyar@gmail.com 	Idukki
FHC Udumbanchola 	Udumbanchola 	Family Health Centre	04868-237045 	10	R 	phcudumbanchola@gmail.com 	Idukki
FHC Karimkunnam 	Karimkunnam 	Family Health Centre	04862-243310 	0	R 	phckarimkunnam@gmail.com 	Idukki
FHC Mariyapuram 	Mariyapuram 	Family Health Centre	04862-236851 	0	R 	phcmariyapuram@gmail.com 	Idukki
FHC Konnathady 	Konnathady 	Family Health Centre	04868-262560 	0	R 	phckonnathady@gmail.com 	Idukki
FHC Peruvanthanam 	Peruvanthanam 	Family Health Centre	04869-380480 	4	R 	phcperuvanthanam@gmail.com 	Idukki
FHC Neriyamangalam 	Neriyamangalam 	Family Health Centre	0485-2554343 	24	R 	neriamangalamphc@gmail.com 	Ernakulam 
FHC Edappally 	Edappally 	Family Health Centre	0484-2953909 	34	U 	chcedappallyekm@gmail.com 	Ernakulam 
FHC Pothanicaud 	Pothanicaud 	Family Health Centre	0485-2564400 	35	R 	pothanicadphc@gmail.com 	Ernakulam 
FHC Palakuzha 	Palakuzha 	Family Health Centre	0485-2253429 	24	R 	mophcpalakuzha@gmail.com 	Ernakulam 
FHC Manjalloor 	Manjalloor 	Family Health Centre	0485-2260851 	24	R 	phcmanjalloor@gmail.com 	Ernakulam 
FHC Valakam 	Valakam 	Family Health Centre	0485-2208900 	24	R 	phcvalakom@yahoo.com 	Ernakulam 
FHC Chittattukara 	Chittattukara 	Family Health Centre	0484-2446919 	24	R 	mophcchittattukara@gmail.com 	Ernakulam 
FHC Koonamavu 	Koonamavu 	Family Health Centre	0484-2513587 	50	R 	phckoonammavu@gmail.com 	Ernakulam 
FHC Ayyampilly 	Ayyampilly 	Family Health Centre	0484-2488396 	51	R 	phcayyampilly@gmail.com 	Ernakulam 
FHC Mulavukad 	Mulavukad 	Family Health Centre	0484-2750677 	24	R 	phcmulavukad@gmail.com 	Ernakulam 
FHC Keezhmadu 	Keezhmadu 	Family Health Centre	0484-2628607 	24	R 	mokeezhmad@gmail.com 	Ernakulam 
FHC Rayamangalam 	Rayamangalam 	Family Health Centre	0484-2651144 	24	R 	phcrayamangalam@gmail.com 	Ernakulam 
FHC Arakkunnam 	Arakkunnam 	Family Health Centre	0484-2748335 	24	R 	phcarakkunnam@yahoo.in 	Ernakulam 
FHC Panangadu 	Panangadu 	Family Health Centre	0484-2703535 	24	R 	phcpanangad@gmail.com 	Ernakulam 
FHC Nettoor 	Nettoor 	Family Health Centre	0484-2700010 	24	U 	phcnettoor@gmail.com 	Ernakulam 
FHC Pindimana 	Pindimana 	Family Health Centre	0485-2572852 	24	R 	pindimanaphc@gmail.com 	Ernakulam 
FHC Kadavoor 	Kadavoor 	Family Health Centre	0485-2567070 	30	R 	kadavoorphc@gmail.com 	Ernakulam 
FHC Thuravoor 	Thuravoor 	Family Health Centre	0484-2617117 	40	R 	phcthuravoor@gmail.com 	Ernakulam 
FHC Binanipuram 	Binanipuram 	Family Health Centre	0484-2559022 	24	R 	phcbinanipuram@gmail.com 	Ernakulam 
FHC Eloor 	Eloor 	Family Health Centre		0	U 	eloorphcekm@gmail.com 	Ernakulam 
FHC Kumarapuram 	Kumarapuram 	Family Health Centre	0484-2680058 	26	R 	phckumarapuram@gmail.com 	Ernakulam 
FHC Thiruvaniyoor 	Thiruvaniyoor 	Family Health Centre	0484-2733760 	24	R 	phcthiroo@gmail.com 	Ernakulam 
FHC Udayamperur 	Udayamperur 	Family Health Centre	0484-2794430 	0	R 	govt.fisherieshospital@gmail.com 	Ernakulam 
FHC Munambam 	Munambam 	Family Health Centre	0484-2488830 	60	R 	phcmunambam@gmail.com 	Ernakulam 
FHC Edavannakkadu 	Edavannakkadu 	Family Health Centre	0484-2507223 	0	R 	phcedavanakad@gmail.com 	Ernakulam 
FHC Alangad 	Alangad 	Family Health Centre	0484-2512711 	0	R 	phcalangad@gmail.com 	Ernakulam 
FHC Choornikkara 	Choornikkara 	Family Health Centre	0484-2625440 	0	R 	choornikkaraphcoffice@gmail.com 	Ernakulam 
FHC Edathala 	Edathala 	Family Health Centre	0484-2838842 	0	R	edathalaphc00@gmail.com 	Ernakulam 
FHC Thiruvankulam 	Thiruvankulam 	Family Health Centre	0484-2783856 	0	U	phcthiruvankulam@gmail.com 	Ernakulam 
FHC Mudakuzha 	Mudakuzha 	Family Health Centre	0484-2643519 	0	R	mudakuzhaphc@gmail.com 	Ernakulam 
FHC Okkal 	Okkal 	Family Health Centre	0484-2649148 	0	R	mophcokkal@gmail.com 	Ernakulam 
FHC Parakadavu 	Parakadavu 	Family Health Centre	0484-2470780 	4	R	phcparakkadavu@gmail.com 	Ernakulam 
FHC Ayyampuzha 	Ayyampuzha 	Family Health Centre	0484-2696825 	0	R	phc.ayyampuzha@gmail.com 	Ernakulam 
FHC Cheruvattoor 	Cheruvattoor 	Family Health Centre	0485-2979133 	0	R	mo.cheruvattoorphc@gmail.com 	Ernakulam 
FHC Kottapady 	Kottapady 	Family Health Centre	0485-2842100 	4	R	kottappadyphc@gmail.com 	Ernakulam 
FHC Punnekkad 	Punnekkad 	Family Health Centre	0485-2572857 	4	R	phcpunnekad@gmail.com 	Ernakulam 
FHC Kandakadavu 	Kandakadavu 	Family Health Centre	0484-2247997 	0	R	phckandakkadavu@gmail.com 	Ernakulam 
FHC Avoly 	Avoly 	Family Health Centre	0485-2830868 	0	R 	phcavoly@gmail.com 	Ernakulam 
FHC Malayattoor 	Malayattoor 	Family Health Centre	0484-2468590 	0	R 	malayatturphc@gmail.com 	Ernakulam 
FHC Chellanam 	Chellanam 	Family Health Centre	0484-2245001 	0	R 	phcchellanam@gmail.com 	Ernakulam 
FHC Cheranalloor 	Cheranalloor 	Family Health Centre	0484-2961605 	0	R 	cheranalloorbphc@gmail.com 	Ernakulam 
FHC Chowara 	Chowara 	Family Health Centre	0484-2600025 	32	R 	phcchowara@gmail.com 	Ernakulam 
FHC Eroor 	Eroor 	Family Health Centre	0484-2781637 	0	U 	mophceroor@gmail.com 	Ernakulam 
FHC Gothuruth 	Gothuruth 	Family Health Centre	0484-2484059 	10	R 	moicphcgoth@gmail.com 	Ernakulam 
FHC Kakkanadu 	Kakkanadu 	Family Health Centre	0484-2428487 	24	U 	phckakkanad@gmail.com 	Ernakulam 
FHC Karumalloor 	Karumalloor 	Family Health Centre	9539775290	24	R 	phckarumalloor@gmail.com 	Ernakulam 
FHC Kodanadu 	Kodanadu 	Family Health Centre	0484-2647678 	24	R 	phckodanad@gmail.com 	Ernakulam 
FHC Kuttampuzha 	Kuttampuzha 	Family Health Centre	0485-2588010 	0	R 	phckuttampuzha@gmail.com 	Ernakulam 
FHC Manjapra 	Manjapra 	Family Health Centre	0484-2690999 	0	R 	phcmanjapra@gmail.com 	Ernakulam 
FHC Mazhuvannoor 	Mazhuvannoor 	Family Health Centre	0484-2769653 	24	R 	mazhuvannoorphc@gmail.com 	Ernakulam 
FHC Nayarambalam 	Nayarambalam 	Family Health Centre	0484-2499048 	0	R 	phcnayarambalam@gmail.com 	Ernakulam 
FHC Paipra 	Paipra 	Family Health Centre	0484-2651158 	0	R 	phcpaipra@gmail.com 	Ernakulam 
FHC Thirumaradi 	Thirumaradi 	Family Health Centre	0485-2877300 	0	R 	thirumaradyphcmedicalofficer@gmail.com 	Ernakulam 
FHC Vazhakulam 	Vazhakulam 	Family Health Centre	0484-2679553 	20	R 	phcvazhakulam@gmail.com 	Ernakulam 
FHC Madavana 	Madavana 	Family Health Centre	0480-2805100 	18	R 	mophcmadavana@rediffmail.com,bacmdvna@g mail.com 	Thrissur 
FHC Thirivilwamala 	Thirivilwamala 	Family Health Centre	04884-282002 	30	R 	chcthiruvilwamala@gmail.com 	Thrissur 
FHC Aloor 	Aloor 	Family Health Centre	0480-2720483 	12	R 	phcaloor@gmail.com, phcaloor@ymail.com 	Thrissur 
FHC Mambara 	Mambara 	Family Health Centre	0480-2733169 	0	R 	phcmambra@gmail.com 	Thrissur 
FHC Vellangallur 	Vellangallur 	Family Health Centre	0480-2861021 	0	R 	phcvellangallur@gmail.com 	Thrissur 
FHC Kakkad 	Kakkad 	Family Health Centre	0480-2718465 	24	R 	phckakkad@gmail.com 	Thrissur 
FHC Kodakara 	Kodakara 	Family Health Centre	0480-2721551 	20	R 	phckdx@yahoo.com,phckodakara@gmail.com 	Thrissur 
FHC Pamboor 	Pamboor 	Family Health Centre	0487-2387133 	0	R 	bphcpamboor@gmail.com 	Thrissur 
FHC Kondazhi 	Kondazhi 	Family Health Centre	04884-286753 	10	R 	phckondazhy@ymail.com,phckodazhy@gmail.c om 	Thrissur 
FHC Panjal 	Panjal 	Family Health Centre	04884-250606 	14	R 	phcpanjal@gmail.com 	Thrissur 
FHC Patikkad 	Patikkad 	Family Health Centre	0487-2282127 	0	R 	phcpattikkad@gmail.com 	Thrissur 
FHC Nadathara 	Nadathara 	Family Health Centre	0487-2316522 	0	R 	phcnadathara@yahoo.in,phcnadathara@gmail.c om 	Thrissur 
FHC Vaniyampara 	Vaniyampara 	Family Health Centre	0487-2687700 	0	R 	phcvaniyamparamedicalofficer@yahoo.in 	Thrissur 
FHC Madakkathara 	Madakkathara 	Family Health Centre	0487-2693930 	0	R 	mophcm@gmail.com 	Thrissur 
FHC Ayyanthole 	Ayyanthole 	Family Health Centre	0487-2360306 	0	U 	phcayyanthole@gmail.com 	Thrissur 
FHC Engandiyur 	Engandiyur 	Family Health Centre	0487-2292216 	0	R 	phcengandiyur@gmail.com 	Thrissur 
FHC Orumanayoor 	Orumanayoor 	Family Health Centre	0487-2503024 	0	R 	phc.orumanayoor@gmail.com 	Thrissur 
FHC Pookkode 	Pookkode 	Family Health Centre	0487-2554200 	0	U 	phcpkd@gmail.com 	Thrissur 
FHC Andathodu 	Andathodu 	Family Health Centre	0487-2542363 	0	R 	phcandathode@gmail.com 	Thrissur 
FHC Parappukkara 	Parappukkara 	Family Health Centre	0480-2723997 	0	R 	phcparappukkara@gmail.com 	Thrissur 
FHC Vallachira 	Vallachira 	Family Health Centre	0487-2342114 	24	R 	moincharge@gmail.com 	Thrissur 
FHC Kuzhur 	Kuzhur 	Family Health Centre	0480-2779406 	14	R 	phckuzhur@yahoo.in,kuzhurphc2011@gmail.co m 	Thrissur 
FHC Methala 	Methala 	Family Health Centre	0480-2809590 	0	U 	phcmethala@gmail.com 	Thrissur 
FHC Chowanoor 	Chowanoor 	Family Health Centre	04885-223288 	0	R 	chowannurphc@gmail.com 	Thrissur 
FHC Perumbilavu 	Perumbilavu 	Family Health Centre	04885-284009 	0	R 	phcperumpilavu@gmail.com 	Thrissur 
